run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
44,A,5,60,10000.0,,0.5,0.3,0.2,1.6449996938656288,0.22434439810964268,-0.1738978175432453,1.4434660192072346,49.795692418139055,397,ok,,4.261834
45,A,5,60,10000.0,,0.6,0.2,0.2,1.8687819727655186,0.2452123500709269,-0.15601585850090627,1.5015784689502203,52.03442790006529,412,ok,,4.099631
46,A,5,60,50000.0,,0.5,0.5,0.0,1.092784641099899,0.16611227400676754,-0.12658561647707134,1.2231081780860882,59.42203404764038,425,ok,,119.0291
47,A,5,60,50000.0,,0.6,0.4,0.0,1.3164598938482164,0.1910151789057195,-0.13138036750838955,1.330291105798625,62.70354762496828,433,ok,,5.067082
48,A,5,60,50000.0,,0.7,0.3,0.0,2.0493660954358597,0.26113149689747095,-0.1463864795719989,1.5710606280808441,68.80385143602908,451,ok,,4.032872
49,A,5,60,50000.0,,0.8,0.2,0.0,1.9133284264651893,0.24921144409653517,-0.16654905907439066,1.4058478457865442,72.84285913745086,464,ok,,4.364645
50,A,5,60,50000.0,,0.5,0.4,0.1,1.6329748041862149,0.22318402228199297,-0.12636935695182994,1.4914310843459269,47.87776689957507,401,ok,,3.875924
51,A,5,60,50000.0,,0.6,0.3,0.1,2.1655906628110317,0.2709863141390607,-0.15898800719871076,1.6856227737179306,55.31511060801874,415,ok,,4.093489
52,A,5,60,50000.0,,0.7,0.2,0.1,1.9704778019746194,0.2542716390911224,-0.14431215013902388,1.5379137542195678,54.160641808273944,420,ok,,4.266686
53,A,5,60,50000.0,,0.5,0.3,0.2,1.6229176194774926,0.2222102985323966,-0.11735682371536671,1.4709725723543388,48.48251085468812,393,ok,,4.163885
54,A,5,60,50000.0,,0.6,0.2,0.2,1.941387961102368,0.2517056567442453,-0.12181932308127807,1.541392452037153,52.446769224828046,418,ok,,4.12868
55,A,5,90,0.0,,0.5,0.5,0.0,1.1680684540208737,0.1747197324067553,-0.12217603848774183,1.1190943535707492,50.45959346789838,396,ok,,117.555021
56,A,5,90,0.0,,0.6,0.4,0.0,1.3115379165459053,0.19048812600893195,-0.14421595120477892,1.107199524481901,55.13644754242728,421,ok,,5.18883
57,A,5,90,0.0,,0.7,0.3,0.0,1.1776832898444272,0.1758019093821832,-0.17216224468838315,0.989702344885484,56.31548303902893,429,ok,,4.061509
58,A,5,90,0.0,,0.8,0.2,0.0,1.2414496901135426,0.1828847966040832,-0.18291127780217353,1.0094754873316079,60.735702608886164,437,ok,,4.025265
59,A,5,90,0.0,,0.5,0.4,0.1,1.532323342505208,0.21330309268699787,-0.12854390182800068,1.4858246023857578,49.60373929524326,391,ok,,3.79563
60,A,5,90,0.0,,0.6,0.3,0.1,1.584971620907834,0.21850958101600337,-0.1624871935708576,1.4942828108524764,54.878623805947036,415,ok,,3.785754
61,A,5,90,0.0,,0.7,0.2,0.1,1.6722973035643967,0.2269631330857218,-0.14839272599879816,1.3849943578673491,51.67273578682076,407,ok,,3.877836
62,A,5,90,0.0,,0.5,0.3,0.2,1.536704627231809,0.21373961928455376,-0.13810499318996106,1.4383715633737444,46.07576003369072,391,ok,,4.52642
63,A,5,90,0.0,,0.6,0.2,0.2,1.8195271972078526,0.2407329124287796,-0.13164621397763587,1.4831026850907418,49.57354340308769,410,ok,,3.851141
64,A,5,90,10000.0,,0.5,0.5,0.0,0.8227379403291812,0.1330648154239844,-0.12100309037829748,1.0327156080366446,46.38936682411736,391,ok,,115.998508
65,A,5,90,10000.0,,0.6,0.4,0.0,0.8335568647537628,0.13446103183426494,-0.14476053073350326,0.9879979228188089,54.40668900080617,416,ok,,5.425744
66,A,5,90,10000.0,,0.7,0.3,0.0,0.8283753867104537,0.13379316211337344,-0.14996276896246274,0.9210024711039879,57.38244090001386,433,ok,,4.132495
67,A,5,90,10000.0,,0.8,0.2,0.0,1.2817943603286093,0.18728408930433726,-0.17762882049555273,1.0944201101631479,62.79802194028128,445,ok,,3.875142
68,A,5,90,10000.0,,0.5,0.4,0.1,1.5772619209821306,0.21775243345622441,-0.0958220215428125,1.5107012296480578,50.564459156434765,395,ok,,3.776153
69,A,5,90,10000.0,,0.6,0.3,0.1,1.540614039875639,0.2141286274220997,-0.16245407385202293,1.472478038973538,53.99839211171842,411,ok,,3.915661
70,A,5,90,10000.0,,0.7,0.2,0.1,1.6842482576553897,0.22810295774866352,-0.15058198052181115,1.3823743655538376,52.59988630058247,412,ok,,4.054901
71,A,5,90,10000.0,,0.5,0.3,0.2,1.510840604529192,0.21115397621101795,-0.13809028441761917,1.4267594773159433,45.35341546318598,392,ok,,4.30059
72,A,5,90,10000.0,,0.6,0.2,0.2,1.8110605874794978,0.2399566922206533,-0.13164535397334087,1.478302081987414,50.40885668407553,414,ok,,3.825736
73,A,5,90,50000.0,,0.5,0.5,0.0,0.976598391910255,0.15233407202126314,-0.1086497359692069,1.1578658162586437,53.0421509382136,408,ok,,115.368393
74,A,5,90,50000.0,,0.6,0.4,0.0,1.172664104370286,0.1752374589767649,-0.12704211781628005,1.261722265508144,58.98272179169538,423,ok,,4.922138
75,A,5,90,50000.0,,0.7,0.3,0.0,1.3226800343119787,0.1916799740641586,-0.15284405400404621,1.2998062720600212,65.03301650875848,444,ok,,3.906107
76,A,5,90,50000.0,,0.8,0.2,0.0,1.388894300643238,0.19867083914705863,-0.20678617768044005,1.1629730199194013,68.201033013918,460,ok,,3.783265
77,A,5,90,50000.0,,0.5,0.4,0.1,1.5698324397757637,0.21702110643882788,-0.12368933414446015,1.5069361932828018,49.62883149026242,394,ok,,3.770844
78,A,5,90,50000.0,,0.6,0.3,0.1,1.631807324583955,0.22307113966807024,-0.13260017348759212,1.513755937742727,51.79287893137285,404,ok,,3.651405
79,A,5,90,50000.0,,0.7,0.2,0.1,1.6735396886456901,0.22708181360383772,-0.1318412246366305,1.3796178293650654,56.93862850780817,420,ok,,3.734112
80,A,5,90,50000.0,,0.5,0.3,0.2,1.4538782989132462,0.20538417061380154,-0.1050611125170271,1.432943866437507,47.559010501463646,390,ok,,3.69018
