trade_date,cash,positions_value,equity
20210408,113.9241362781031,1040965.3078627295,1041079.2319990076
20210409,113.9241362781031,1040744.4772493105,1040858.4013855886
20210412,113.9241362781031,1044795.8092017699,1044909.733338048
20210413,113.9241362781031,1039706.8438113576,1039820.7679476357
20210414,113.9241362781031,1036074.5227174966,1036188.4468537747
20210415,113.9241362781031,1032883.8628504735,1032997.7869867516
20210416,113.9241362781031,1037680.0149882603,1037793.9391245384
20210419,113.9241362781031,1039944.9561763878,1040058.880312666
20210420,113.9241362781031,1038326.7949641165,1038440.7191003946
20210421,113.9241362781031,1037909.6189622417,1038023.5430985198
20210422,113.9241362781031,1031883.6460904134,1031997.5702266915
20210423,113.9241362781031,1031141.6038584663,1031255.5279947444
20210426,113.9241362781031,1023577.9632627135,1023691.8873989916
20210427,113.9241362781031,1019486.961701825,1019600.8858381031
20210428,113.9241362781031,1016243.2460557072,1016357.1701919853
20210429,113.9241362781031,1027550.181865813,1027664.1060020911
20210430,113.9241362781031,1019409.9090766873,1019523.8332129654
20210506,14.305060193495592,1025311.1809665532,1025325.4860267467
20210507,14.305060193495592,1032762.0723607016,1032776.3774208952
20210510,14.305060193495592,1032296.5376301013,1032310.8426902948
20210511,14.305060193495592,1035519.1296724108,1035533.4347326043
20210512,14.305060193495592,1042160.8821158417,1042175.1871760353
20210513,14.305060193495592,1040773.8314576222,1040788.1365178158
20210514,14.305060193495592,1047448.5216144624,1047462.8266746559
20210517,14.305060193495592,1044852.0189977188,1044866.3240579123
20210518,14.305060193495592,1041855.9547462275,1041870.259806421
20210519,14.305060193495592,1037220.3396817766,1037234.6447419701
20210520,14.305060193495592,1041198.312829276,1041212.6178894695
20210521,14.305060193495592,1038582.6815437849,1038596.9866039784
20210524,14.305060193495592,1038939.8862362505,1038954.191296444
20210525,14.305060193495592,1048035.8132701695,1048050.1183303631
20210526,14.305060193495592,1048876.9582266354,1048891.2632868288
20210527,14.305060193495592,1046910.7025855792,1046925.0076457728
20210528,14.305060193495592,1048781.746173819,1048796.0512340125
20210531,14.305060193495592,1045475.7148576139,1045490.0199178074
20210601,523.2240435358252,1042227.0601089126,1042750.2841524484
20210602,523.2240435358252,1044661.8007592999,1045185.0248028357
20210603,523.2240435358252,1043053.3360122258,1043576.5600557616
20210604,523.2240435358252,1045367.6140604856,1045890.8381040214
20210607,523.2240435358252,1042951.4933829636,1043474.7174264994
20210608,523.2240435358252,1043854.0733026753,1044377.297346211
20210609,523.2240435358252,1043595.0886861604,1044118.3127296962
20210610,523.2240435358252,1041295.1388073489,1041818.3628508847
20210611,523.2240435358252,1041341.4399790318,1041864.6640225676
20210615,523.2240435358252,1032131.5597035429,1032654.7837470786
20210616,523.2240435358252,1034155.5872417715,1034678.8112853073
20210617,523.2240435358252,1032635.2210008464,1033158.4450443821
20210618,523.2240435358252,1027929.7008541236,1028452.9248976593
20210621,523.2240435358252,1029153.4978442572,1029676.7218877929
20210622,523.2240435358252,1031674.8565474187,1032198.0805909545
20210623,523.2240435358252,1030917.136220312,1031440.3602638477
20210624,523.2240435358252,1033929.0006052919,1034452.2246488277
20210625,523.2240435358252,1039945.9038921368,1040469.1279356725
20210628,523.2240435358252,1036104.226710608,1036627.4507541438
20210629,523.2240435358252,1030985.3870882746,1031508.6111318104
20210630,523.2240435358252,1030363.4516224038,1030886.6756659396
20210701,209.71695004302575,1030984.152830109,1031193.869780152
20210702,209.71695004302575,1029194.294446012,1029404.011396055
20210705,209.71695004302575,1027170.2788777796,1027379.9958278226
20210706,209.71695004302575,1033163.8206646075,1033373.5376146504
20210707,209.71695004302575,1029531.1612446827,1029740.8781947257
20210708,209.71695004302575,1024297.931424887,1024507.64837493
20210709,209.71695004302575,1021580.4295389223,1021790.1464889653
20210712,209.71695004302575,1017401.0707605282,1017610.7877105712
20210713,209.71695004302575,1016650.0703966042,1016859.7873466472
20210714,209.71695004302575,1008038.9381777401,1008248.6551277831
20210715,209.71695004302575,1014591.4033942119,1014801.1203442549
20210716,209.71695004302575,1015369.4288316529,1015579.1457816958
20210719,209.71695004302575,1014278.186332914,1014487.903282957
20210720,209.71695004302575,1008622.8004919656,1008832.5174420086
20210721,209.71695004302575,1008106.4013442384,1008316.1182942814
20210722,209.71695004302575,1010509.543693373,1010719.260643416
20210723,209.71695004302575,1008070.5659921898,1008280.2829422328
20210726,209.71695004302575,996022.5443523307,996232.2613023737
20210727,209.71695004302575,986135.5237055467,986345.2406555897
20210728,209.71695004302575,984079.4690492495,984289.1859992925
20210729,209.71695004302575,978569.3055832485,978779.0225332915
20210730,209.71695004302575,973697.995204497,973907.71215454
20210802,169.37221280283893,983653.2073230942,983822.5795358971
20210803,169.37221280283893,977172.2411862907,977341.6133990936
20210804,169.37221280283893,974901.2343395645,975070.6065523673
20210805,169.37221280283893,975945.6726837087,976115.0448965116
20210806,169.37221280283893,975430.0514215413,975599.4236343441
20210809,169.37221280283893,982881.4341124936,983050.8063252965
20210810,169.37221280283893,986085.1535284936,986254.5257412965
20210811,169.37221280283893,990431.8412436992,990601.2134565021
20210812,169.37221280283893,986539.8002047145,986709.1724175174
20210813,169.37221280283893,986797.686085023,986967.0582978259
20210816,169.37221280283893,991301.9957936006,991471.3680064034
20210817,169.37221280283893,985313.2298194435,985482.6020322464
20210818,169.37221280283893,998813.410855337,998982.7830681399
20210819,169.37221280283893,989166.9237726007,989336.2959854036
20210820,169.37221280283893,987485.7085937978,987655.0808066006
20210823,169.37221280283893,988613.105923055,988782.4781358578
20210824,169.37221280283893,987667.0489182116,987836.4211310145
20210825,169.37221280283893,986857.7203384964,987027.0925512993
20210826,169.37221280283893,983775.801478629,983945.1736914319
20210827,169.37221280283893,987749.8611702533,987919.2333830561
20210830,169.37221280283893,984510.0212028039,984679.3934156068
20210831,169.37221280283893,994886.340095826,995055.7123086288
20210901,14.235102380937178,1006293.2104765446,1006307.4455789255
20210902,14.235102380937178,1005524.4162854592,1005538.6513878402
20210903,14.235102380937178,1013071.8125876298,1013086.0476900107
20210906,14.235102380937178,1014173.3186019103,1014187.5537042912
20210907,14.235102380937178,1021784.0929964376,1021798.3280988185
20210908,14.235102380937178,1026664.4716221574,1026678.7067245384
20210909,14.235102380937178,1025194.9621070095,1025209.1972093905
20210910,14.235102380937178,1029091.8163681063,1029106.0514704873
20210913,14.235102380937178,1028605.1664080671,1028619.4015104481
20210914,14.235102380937178,1012911.767538736,1012926.002641117
20210915,14.235102380937178,1010968.1309529075,1010982.3660552885
20210916,14.235102380937178,1007320.4276899993,1007334.6627923803
20210917,14.235102380937178,1007329.7640128166,1007343.9991151976
20210922,14.235102380937178,998386.297597714,998400.532700095
20210923,14.235102380937178,1005424.4811950382,1005438.7162974192
20210924,14.235102380937178,1000845.7861779102,1000860.0212802911
20210927,14.235102380937178,996221.6178827924,996235.8529851733
20210928,14.235102380937178,1001662.0644163564,1001676.2995187374
20210929,14.235102380937178,1001979.191259815,1001993.426362196
20210930,14.235102380937178,998700.482641254,998714.717743635
20211008,431.7163936751782,1010955.0532951294,1011386.7696888046
20211011,431.7163936751782,1017597.3525203139,1018029.0689139891
20211012,431.7163936751782,1015287.291907193,1015719.0083008682
20211013,431.7163936751782,1011198.2622136824,1011629.9786073576
20211014,431.7163936751782,1006529.3781286136,1006961.0945222888
20211015,431.7163936751782,1005957.5925035984,1006389.3088972736
20211018,431.7163936751782,1006322.0449220571,1006753.7613157323
20211019,431.7163936751782,1007459.6130452245,1007891.3294388996
20211020,431.7163936751782,1005843.081347642,1006274.7977413172
20211021,431.7163936751782,1015338.8053616573,1015770.5217553325
20211022,431.7163936751782,1013260.6323693206,1013692.3487629958
20211025,431.7163936751782,1013745.0288278754,1014176.7452215506
20211026,431.7163936751782,1010386.3551071096,1010818.0715007848
20211027,431.7163936751782,1005622.0130890378,1006053.729482713
20211028,431.7163936751782,1000322.7125031572,1000754.4288968324
20211029,431.7163936751782,1004507.2001296708,1004938.916523346
20211101,197.78411322576238,1017095.2347042335,1017293.0188174592
20211102,197.78411322576238,1001272.7924288859,1001470.5765421117
20211103,197.78411322576238,1003076.6745822418,1003274.4586954676
