trade_date,cash,positions_value,equity
20210414,1586.4081412888772,739623.2064973293,741209.6146386182
20210415,1586.4081412888772,739465.4158369467,741051.8239782356
20210416,1586.4081412888772,742912.3132747228,744498.7214160117
20210419,1246.2556016878807,738637.9083973136,739884.1639990015
20210420,1246.2556016878807,719578.9083644354,720825.1639661232
20210421,1246.2556016878807,723573.218606875,724819.4742085629
20210422,1246.2556016878807,724035.4198305296,725281.6754322175
20210423,1246.2556016878807,713903.6697476088,715149.9253492968
20210426,46469.87321036318,680617.972185035,727087.8453953982
20210427,46469.87321036318,668644.0969394204,715113.9701497837
20210428,46469.87321036318,679936.069374334,726405.9425846972
20210429,46469.87321036318,691895.8133366687,738365.6865470319
20210430,46469.87321036318,709385.4851310415,755855.3583414047
20210506,1304.310268327623,823084.9946934523,824389.3049617799
20210507,1304.310268327623,830113.2126428221,831417.5229111497
20210510,2336.576386198576,843963.7301599525,846300.3065461512
20210511,2336.576386198576,830941.2855810266,833277.8619672251
20210512,2336.576386198576,860613.1187472971,862949.6951334956
20210513,2336.576386198576,856271.0010688336,858607.5774550322
20210514,2336.576386198576,868190.8890678788,870527.4654540773
20210517,221.6298142876476,850886.6698065843,851108.2996208719
20210518,221.6298142876476,883627.8299104562,883849.4597247439
20210519,221.6298142876476,919688.066079184,919909.6958934716
20210520,221.6298142876476,935183.8894793799,935405.5192936675
20210521,221.6298142876476,958120.1810737682,958341.8108880558
20210524,1345.123813073209,942727.25804437,944072.3818574431
20210525,1345.123813073209,934718.1369194968,936063.26073257
20210526,1345.123813073209,969521.7895399537,970866.9133530268
20210527,1345.123813073209,954224.0978879713,955569.2217010446
20210528,1345.123813073209,967795.1505813304,969140.2743944037
20210531,1193.424185572425,1007987.9393706685,1009181.3635562409
20210601,1193.424185572425,981438.3499581362,982631.7741437086
20210602,1193.424185572425,939093.4518357068,940286.8760212793
20210603,1193.424185572425,927123.8889460886,928317.313131661
20210604,1193.424185572425,912817.0769363645,914010.501121937
20210607,183944.14116140618,748184.322192048,932128.4633534541
20210608,183944.14116140618,732995.3204512221,916939.4616126283
20210609,183944.14116140618,713277.7216767634,897221.8628381696
20210610,183944.14116140618,708921.1818118516,892865.3229732577
20210611,183944.14116140618,704492.0743680802,888436.2155294864
20210615,3552.3922664966667,884981.7395443153,888534.1318108119
20210616,3552.3922664966667,850255.2489596072,853807.6412261039
20210617,3552.3922664966667,870363.0506690111,873915.4429355077
20210618,3552.3922664966667,905949.8896634479,909502.2819299445
20210621,2309.7156981613953,905289.2289620291,907598.9446601905
20210622,2309.7156981613953,886615.9765494943,888925.6922476557
20210623,2309.7156981613953,885445.8690166245,887755.5847147859
20210624,2309.7156981613953,853851.3758624508,856161.0915606122
20210625,2309.7156981613953,836524.8548045208,838834.5705026822
20210628,2712.701038027939,866182.9903059764,868895.6913440044
20210629,2712.701038027939,860384.2285657269,863096.9296037548
20210630,2712.701038027939,887886.1264889378,890598.8275269656
20210701,2712.701038027939,840412.0297768727,843124.7308149007
20210702,2712.701038027939,875866.7106651961,878579.4117032241
20210705,1776.4205731678812,865349.62124376,867126.0418169278
20210706,1776.4205731678812,843270.8269801487,845047.2475533165
20210707,1776.4205731678812,837459.3425445701,839235.763117738
20210708,1776.4205731678812,814250.9914905956,816027.4120637635
20210709,1776.4205731678812,813022.1297973824,814798.5503705502
20210712,162877.3206667707,650867.225413452,813744.5460802227
20210713,162877.3206667707,632279.546980626,795156.8676473966
20210714,162877.3206667707,622407.2170825293,785284.5377493
20210715,162877.3206667707,627452.757627281,790330.0782940517
20210716,162877.3206667707,623882.465970401,786759.7866371716
20210719,1404.9211607772158,767118.141817813,768523.0629785903
20210720,1404.9211607772158,758880.4839546059,760285.4051153831
20210721,1404.9211607772158,769034.0667061146,770438.9878668918
20210722,1404.9211607772158,774382.4411604122,775787.3623211894
20210723,1404.9211607772158,765575.4970366964,766980.4181974736
20210726,3860.127502408868,815053.8843120076,818914.0118144164
20210727,3860.127502408868,787576.3873998796,791436.5149022886
20210728,3860.127502408868,769524.7670727436,773384.8945751525
20210729,3860.127502408868,807210.424697906,811070.5522003148
20210730,3860.127502408868,791049.0572950828,794909.1847974916
20210802,2410.7393045588396,839052.1160589389,841462.8553634977
